content_id,title,type,description,category_id ,dateCreated,author_id,keywords
26,Vue.js pour mobile,Article,Exploration de l'utilisation de Vue.js pour développer des applications mobiles.,11,2025-03-12,27,"vue.js, mobile"
27,Développer avec Kotlin,Tutoriel,Tutoriel pour apprendre Kotlin et l'utiliser pour développer des applications Android.,8,2025-01-30,26,"kotlin, android"
28,DevOps et Continuous Integration,Article,Introduction à DevOps et à l'intégration continue dans le cycle de développement logiciel.,5,2025-02-10,18,"devops, ci/cd"
29,Introduction à TypeScript,Tutoriel,Tutoriel sur TypeScript et comment l'utiliser pour ajouter du typage statique à vos applications JavaScript.,1,2025-01-25,20,"typescript, javascript"
31,Développer une application avec Angular,Tutoriel,Tutoriel pour créer une application avec Angular en utilisant des pratiques modernes.,13,2025-03-17,15,"angular, frontend"
32,Prendre en main MongoDB,Tutoriel,"Guide d'introduction à MongoDB, une base de données NoSQL populaire.",2,2025-04-03,30,"mongodb, noSQL"
33,Understanding Web Development,Article,A detailed overview of web development processes and tools.,42,2025-04-05,10,"web development, tools"
34,Introduction to Cybersecurity,Article,A basic guide to understanding the core concepts of cybersecurity.,45,2025-04-06,15,"cybersecurity, security"
35,Introduction to Data Science,Article,What data science is and why it is important for modern industries.,55,2025-04-07,20,"data science, machine learning"
36,Introduction to Blockchain,Article,A beginner’s guide to understanding blockchain technology.,50,2025-04-08,25,"blockchain, cryptocurrency"
37,Implementing Edge AI,Article,How to run AI models on edge devices using Jetson Nano.,65,2025-04-09,30,"edge computing, AI"
38,Chatbot Development with Rasa,Tutorial,Learn how to develop chatbots using Rasa and Python.,69,2025-04-10,17,"chatbot, rasa, python"
39,Building APIs with Node.js,Tutorial,Learn how to build REST APIs using Node.js and Express.,67,2025-04-11,12,"node.js, API, backend"
40,Vue.js for Frontend Development,Tutorial,"Learn how to use Vue.js for building modern, reactive UIs.",53,2025-04-12,8,"vue.js, frontend"
41,Machine Learning with Python,Tutorial,Introduction to using Python for Machine Learning.,44,2025-04-13,7,"python, machine learning"
42,REST APIs vs GraphQL,Article,A comparison between REST APIs and GraphQL for web development.,67,2025-04-14,10,"API, GraphQL"
43,The Basics of Artificial Intelligence,Article,An introduction to the core concepts of AI.,44,2025-04-15,6,"AI, artificial intelligence"
44,Implementing CI/CD with Jenkins,Tutorial,A guide to setting up continuous integration and deployment with Jenkins.,46,2025-04-16,14,"CI/CD, Jenkins, devops"
45,Getting Started with Docker,Tutorial,Learn how to use Docker to containerize your applications.,48,2025-04-17,16,"docker, containers"
46,Cloud Computing with AWS,Tutorial,How to set up and use cloud services on AWS.,48,2025-04-18,11,"aws, cloud computing"
